"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5100","Login with valid data / TC 1","chromium","Thu Mar 13 11:45:49 GMT 2025","passed","Thu Mar 13 11:45:54 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","21729","Login with empty Password field","firefox","Thu Mar 13 10:47:19 GMT 2025","passed","Thu Mar 13 10:47:41 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","1923","Login with empty fields / TC 4","webkit","Thu Mar 13 11:46:14 GMT 2025","passed","Thu Mar 13 11:46:16 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","6020","Login with empty Login field / TC 2","firefox","Thu Mar 13 11:45:53 GMT 2025","passed","Thu Mar 13 11:45:59 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","3551","validate with only valid login field","firefox","Wed Mar 12 19:30:56 GMT 2025","passed","Wed Mar 12 19:31:00 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","1699","validate with empty login and password fields","webkit","Wed Mar 12 19:31:04 GMT 2025","passed","Wed Mar 12 19:31:06 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","21840","Login with empty Login field","firefox","Thu Mar 13 10:47:17 GMT 2025","passed","Thu Mar 13 10:47:39 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","2371","validate with only valid login field","webkit","Wed Mar 12 19:31:05 GMT 2025","passed","Wed Mar 12 19:31:07 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","1485","Registration with empty fields / TC 11","chromium","Thu Mar 13 11:56:14 GMT 2025","passed","Thu Mar 13 11:56:15 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","11647","Login with empty fields","webkit","Thu Mar 13 10:48:03 GMT 2025","passed","Thu Mar 13 10:48:14 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","1926","Login with empty fields / TC 4","chromium","Thu Mar 13 11:45:49 GMT 2025","passed","Thu Mar 13 11:45:51 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","5229","Login with invalid data","firefox","Thu Mar 13 10:47:55 GMT 2025","passed","Thu Mar 13 10:48:00 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","2015","validate with only valid login field","chromium","Wed Mar 12 19:30:49 GMT 2025","passed","Wed Mar 12 19:30:52 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","3384","Login with invalid data / TC 5","firefox","Thu Mar 13 11:46:01 GMT 2025","passed","Thu Mar 13 11:46:04 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1687","Registration when passwords do not match / TC 10","chromium","Thu Mar 13 11:56:14 GMT 2025","passed","Thu Mar 13 11:56:16 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2261","Login with invalid data / TC 5","chromium","Thu Mar 13 11:45:52 GMT 2025","passed","Thu Mar 13 11:45:54 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","3172","validate with invalid login and password fields","chromium","Wed Mar 12 19:30:50 GMT 2025","passed","Wed Mar 12 19:30:53 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","2264","should show error when first name is missing","firefox","Wed Mar 12 19:29:30 GMT 2025","passed","Wed Mar 12 19:29:33 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1821","should show error when passwords do not match","webkit","Wed Mar 12 19:29:47 GMT 2025","passed","Wed Mar 12 19:29:49 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
