"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1721","Registretion with invalid First Name / TC 8","webkit","Thu Mar 13 17:50:42 GMT 2025","passed","Thu Mar 13 17:50:44 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","4042","Registration when passwords do not match / TC 10","webkit","Thu Mar 13 19:26:56 GMT 2025","passed","Thu Mar 13 19:27:00 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2521","Login with empty Password field / TC 3","webkit","Thu Mar 13 19:26:51 GMT 2025","passed","Thu Mar 13 19:26:54 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","5300","Registration with valid data / TC 6","chromium","Thu Mar 13 19:26:31 GMT 2025","passed","Thu Mar 13 19:26:36 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","13467","Login with empty Password field","chromium","Thu Mar 13 10:46:53 GMT 2025","passed","Thu Mar 13 10:47:07 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","1887","Registration with invalid Last Name / TC 9","webkit","Thu Mar 13 19:26:55 GMT 2025","passed","Thu Mar 13 19:26:57 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","5650","Login with valid data / TC 1","webkit","Thu Mar 13 19:26:50 GMT 2025","passed","Thu Mar 13 19:26:55 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","3782","Registration with empty fields / TC 11","webkit","Thu Mar 13 19:26:56 GMT 2025","passed","Thu Mar 13 19:27:00 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1285","should show error when login is missing","chromium","Wed Mar 12 19:28:57 GMT 2025","passed","Wed Mar 12 19:28:58 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","5130","Registretion with invalid Last Name / TC 9","firefox","Thu Mar 13 17:50:31 GMT 2025","passed","Thu Mar 13 17:50:36 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1909","Registration with empty fields / TC 11","firefox","Thu Mar 13 19:26:47 GMT 2025","passed","Thu Mar 13 19:26:49 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","21729","Login with empty Password field","firefox","Thu Mar 13 10:47:19 GMT 2025","passed","Thu Mar 13 10:47:41 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","1713","Login with empty fields / TC 4","chromium","Thu Mar 13 19:26:29 GMT 2025","passed","Thu Mar 13 19:26:31 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","2264","should show error when first name is missing","firefox","Wed Mar 12 19:29:30 GMT 2025","passed","Wed Mar 12 19:29:33 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","5763","validate with valid login and password fields","webkit","Wed Mar 12 19:31:03 GMT 2025","passed","Wed Mar 12 19:31:09 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","3470","Registretion with invalid First Name / TC 8","firefox","Thu Mar 13 17:50:31 GMT 2025","passed","Thu Mar 13 17:50:35 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1625","should register successfully with valid data","chromium","Wed Mar 12 19:31:40 GMT 2025","passed","Wed Mar 12 19:31:42 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1323","should show error when first name is missing","webkit","Wed Mar 12 19:29:46 GMT 2025","passed","Wed Mar 12 19:29:48 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","5644","Registretion with invalid Login / TC 7","firefox","Thu Mar 13 17:50:30 GMT 2025","passed","Thu Mar 13 17:50:36 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","11641","Login with empty Password field","webkit","Thu Mar 13 10:48:02 GMT 2025","passed","Thu Mar 13 10:48:14 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","7794","validate with valid login and password fields","firefox","Wed Mar 12 19:30:53 GMT 2025","passed","Wed Mar 12 19:31:00 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","1056","validate with only valid password field","chromium","Wed Mar 12 19:30:52 GMT 2025","passed","Wed Mar 12 19:30:53 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","6454","Login with valid data / TC 1","firefox","Thu Mar 13 19:26:36 GMT 2025","passed","Thu Mar 13 19:26:42 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","2051","Login with empty fields / TC 4","webkit","Thu Mar 13 19:26:51 GMT 2025","passed","Thu Mar 13 19:26:53 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
