"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1376","Registration with empty fields / TC 11","webkit","Mon Mar 17 10:44:30 GMT 2025","passed","Mon Mar 17 10:44:31 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","4434","Registration with valid data / TC 6","chromium","Mon Mar 17 10:43:59 GMT 2025","passed","Mon Mar 17 10:44:04 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1820","Login with empty Password field / TC 3","chromium","Mon Mar 17 10:43:57 GMT 2025","passed","Mon Mar 17 10:43:59 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","2187","Registration with invalid First Name / TC 8","webkit","Mon Mar 17 10:44:27 GMT 2025","passed","Mon Mar 17 10:44:29 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","5678","Registration with valid data / TC 6","webkit","Mon Mar 17 10:44:25 GMT 2025","passed","Mon Mar 17 10:44:31 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1338","Registration with empty fields / TC 11","chromium","Mon Mar 17 10:44:02 GMT 2025","passed","Mon Mar 17 10:44:04 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1996","Registration with invalid Login / TC 7","firefox","Mon Mar 17 10:44:15 GMT 2025","passed","Mon Mar 17 10:44:17 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","7633","Login with empty Password field / TC 3","firefox","Mon Mar 17 10:44:05 GMT 2025","passed","Mon Mar 17 10:44:12 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","6136","Login with invalid data / TC 5","firefox","Mon Mar 17 10:44:10 GMT 2025","passed","Mon Mar 17 10:44:16 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1233","Registration with invalid Last Name / TC 9","webkit","Mon Mar 17 10:44:29 GMT 2025","passed","Mon Mar 17 10:44:30 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1611","Registration when passwords do not match / TC 10","firefox","Mon Mar 17 10:44:17 GMT 2025","passed","Mon Mar 17 10:44:19 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","536","Registration with invalid Last Name / TC 9","chromium","Mon Mar 17 10:44:02 GMT 2025","passed","Mon Mar 17 10:44:02 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1277","Registration when passwords do not match / TC 10","webkit","Mon Mar 17 10:44:29 GMT 2025","passed","Mon Mar 17 10:44:30 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1306","Registration with invalid First Name / TC 8","chromium","Mon Mar 17 10:44:01 GMT 2025","passed","Mon Mar 17 10:44:02 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","7177","Login with valid data / TC 1","webkit","Mon Mar 17 10:44:20 GMT 2025","passed","Mon Mar 17 10:44:27 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1885","Login with empty fields / TC 4","chromium","Mon Mar 17 10:43:57 GMT 2025","passed","Mon Mar 17 10:43:59 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","613","Registration when passwords do not match / TC 10","chromium","Mon Mar 17 10:44:02 GMT 2025","passed","Mon Mar 17 10:44:03 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","8098","Login with valid data / TC 1","firefox","Mon Mar 17 10:44:04 GMT 2025","passed","Mon Mar 17 10:44:12 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1910","Registration with invalid First Name / TC 8","firefox","Mon Mar 17 10:44:16 GMT 2025","passed","Mon Mar 17 10:44:18 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2251","Registration with invalid Login / TC 7","webkit","Mon Mar 17 10:44:25 GMT 2025","passed","Mon Mar 17 10:44:27 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1326","Registration with empty fields / TC 11","firefox","Mon Mar 17 10:44:18 GMT 2025","passed","Mon Mar 17 10:44:19 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1933","Login with empty Login field / TC 2","chromium","Mon Mar 17 10:43:57 GMT 2025","passed","Mon Mar 17 10:43:59 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","5814","Login with valid data / TC 1","chromium","Mon Mar 17 10:43:57 GMT 2025","passed","Mon Mar 17 10:44:03 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","4120","Login with invalid data / TC 5","webkit","Mon Mar 17 10:44:25 GMT 2025","passed","Mon Mar 17 10:44:29 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
