"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","720","Registration with invalid Last Name / TC 9","chromium","Fri Mar 14 10:44:33 GMT 2025","passed","Fri Mar 14 10:44:33 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1411","Registration with invalid Login / TC 7","chromium","Fri Mar 14 10:44:30 GMT 2025","passed","Fri Mar 14 10:44:32 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","4730","Login with valid data / TC 1","chromium","Fri Mar 14 10:44:28 GMT 2025","passed","Fri Mar 14 10:44:33 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","4649","Login with empty Password field / TC 3","firefox","Fri Mar 14 10:44:36 GMT 2025","passed","Fri Mar 14 10:44:40 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1997","Registration when passwords do not match / TC 10","webkit","Fri Mar 14 10:44:56 GMT 2025","passed","Fri Mar 14 10:44:58 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","696","Registration when passwords do not match / TC 10","chromium","Fri Mar 14 10:44:33 GMT 2025","passed","Fri Mar 14 10:44:34 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","4960","Login with empty fields / TC 4","firefox","Fri Mar 14 10:44:36 GMT 2025","passed","Fri Mar 14 10:44:41 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1478","Registration with invalid First Name / TC 8","firefox","Fri Mar 14 10:44:44 GMT 2025","passed","Fri Mar 14 10:44:45 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1413","Registration with empty fields / TC 11","chromium","Fri Mar 14 10:44:33 GMT 2025","passed","Fri Mar 14 10:44:35 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2398","Login with empty Password field / TC 3","webkit","Fri Mar 14 10:44:49 GMT 2025","passed","Fri Mar 14 10:44:52 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1627","Login with empty fields / TC 4","webkit","Fri Mar 14 10:44:50 GMT 2025","passed","Fri Mar 14 10:44:52 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1239","Registration with invalid Last Name / TC 9","webkit","Fri Mar 14 10:44:55 GMT 2025","passed","Fri Mar 14 10:44:56 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2148","Registration with invalid Last Name / TC 9","firefox","Fri Mar 14 10:44:45 GMT 2025","passed","Fri Mar 14 10:44:47 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2434","Login with invalid data / TC 5","chromium","Fri Mar 14 10:44:30 GMT 2025","passed","Fri Mar 14 10:44:33 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","3263","Login with invalid data / TC 5","firefox","Fri Mar 14 10:44:41 GMT 2025","passed","Fri Mar 14 10:44:44 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","4429","Registration with valid data / TC 6","chromium","Fri Mar 14 10:44:30 GMT 2025","passed","Fri Mar 14 10:44:35 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2231","Registration with invalid First Name / TC 8","webkit","Fri Mar 14 10:44:54 GMT 2025","passed","Fri Mar 14 10:44:56 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","4894","Registration with valid data / TC 6","webkit","Fri Mar 14 10:44:52 GMT 2025","passed","Fri Mar 14 10:44:57 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1605","Registration with invalid Login / TC 7","webkit","Fri Mar 14 10:44:52 GMT 2025","passed","Fri Mar 14 10:44:54 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","3522","Login with empty Login field / TC 2","firefox","Fri Mar 14 10:44:35 GMT 2025","passed","Fri Mar 14 10:44:38 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1591","Registration with invalid First Name / TC 8","chromium","Fri Mar 14 10:44:32 GMT 2025","passed","Fri Mar 14 10:44:33 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","7312","Login with valid data / TC 1","firefox","Fri Mar 14 10:44:34 GMT 2025","passed","Fri Mar 14 10:44:42 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","6189","Login with valid data / TC 1","webkit","Fri Mar 14 10:44:49 GMT 2025","passed","Fri Mar 14 10:44:55 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","2001","Login with empty fields / TC 4","chromium","Fri Mar 14 10:44:28 GMT 2025","passed","Fri Mar 14 10:44:30 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1903","Login with empty Password field / TC 3","chromium","Fri Mar 14 10:44:28 GMT 2025","passed","Fri Mar 14 10:44:30 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1609","Registration with invalid Login / TC 7","firefox","Fri Mar 14 10:44:43 GMT 2025","passed","Fri Mar 14 10:44:45 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","3094","Login with invalid data / TC 5","webkit","Fri Mar 14 10:44:52 GMT 2025","passed","Fri Mar 14 10:44:55 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1707","Registration with empty fields / TC 11","webkit","Fri Mar 14 10:44:56 GMT 2025","passed","Fri Mar 14 10:44:57 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1885","Login with empty Login field / TC 2","chromium","Fri Mar 14 10:44:28 GMT 2025","passed","Fri Mar 14 10:44:30 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","5130","Registration with valid data / TC 6","firefox","Fri Mar 14 10:44:43 GMT 2025","passed","Fri Mar 14 10:44:48 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1970","Login with empty Login field / TC 2","webkit","Fri Mar 14 10:44:50 GMT 2025","passed","Fri Mar 14 10:44:52 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1883","Registration when passwords do not match / TC 10","firefox","Fri Mar 14 10:44:45 GMT 2025","passed","Fri Mar 14 10:44:47 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1583","Registration with empty fields / TC 11","firefox","Fri Mar 14 10:44:45 GMT 2025","passed","Fri Mar 14 10:44:47 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
